Structure parameters:
-7.0549352333e-03 2.3281959414e-04 1.4788800294e-02 
-7.0124837955e-03 -5.1573456130e-04 1.4778587804e-02 
-7.0474161317e-03 -6.8558607982e-04 1.4756307753e-02 
-7.2113234841e-03 -7.0660710087e-04 1.4746647129e-02 
-2.8644302684e-03 -1.6686794855e-04 1.7159731624e-02 
-6.9483289726e-03 -8.0312970426e-04 1.4747274082e-02 
-7.4321560046e-03 -1.0601346282e-03 1.4790590486e-02 
-7.2577680783e-03 -1.1290932116e-03 1.4691010780e-02 
-7.0954599239e-03 -1.2240029355e-03 1.4738164563e-02 
-7.1716198865e-03 -1.2363502836e-03 1.4727481285e-02 
2.6583262858e-04 -2.8754367965e-03 1.8814807219e-02 
-1.8600114272e-04 -2.9380917231e-03 1.8793691155e-02 
2.3742057880e-04 -3.0377691289e-03 1.8842322431e-02 
1.9866673143e-04 -3.1794746293e-03 1.8858811271e-02 
1.4694242312e-04 -3.2049355339e-03 1.8922445176e-02 
-6.1049639232e-05 -3.2795104088e-03 1.8941625682e-02 
-2.6888602086e-04 -3.3572936254e-03 1.9042384517e-02 
1.3926366154e-04 -3.3163231717e-03 1.8920566879e-02 
-3.5475962520e-04 -3.4078970010e-03 1.9078909981e-02 
5.5888405034e-04 -3.3270321711e-03 1.9038527313e-02 
